

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.926445 , average_magnitude : 69.171860 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.548874 , average_magnitude : 69.106285 
Decode NSSS - fr

 nb subcarrier : 4, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 62.154537 , average_magnitude : 62.154537 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.240891 , average_magnitude : 69.197716 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 60.025959 , average_magnitude : 66.140465 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.823090 , average_magnitude : 66.311119 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 65.540543 , average_magnitude : 66.157005 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 62.839867 , average_magnitude : 65.604149 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.969231 , average_magnitude : 66.370590 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.417549 , average_magnitude : 67.001457 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.253006 , average_magnitude : 67.696075 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.477699 , average_magnitude : 67.574234 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.224594 , average_magnitude : 68.269722 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.838234 , average_magnitude : 68.150429 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 72.922104 , average_magnitude : 68.517487 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 61.175976 , average_magnitude : 67.993088 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.979149 , average_magnitude : 68.125488 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 65.306519 , average_magnitude : 67.949303 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.620987 , average_magnitude : 68.047638 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.065239 , average_magnitude : 68.104164 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.777946 , average_magnitude : 68.034363 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.424835 , average_magnitude : 68.053879 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 63.554020 , average_magnitude : 67.839607 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.155991 , average_magnitude : 67.944893 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.029404 , average_magnitude : 68.296394 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.346092 , average_magnitude : 68.423462 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 70.843262 , average_magnitude : 68.520256 
